DTXSID,GUID
DTXSID0027935,773b8350-2743-40df-9e15-428a833cf90f
DTXSID0028038,63a7e79a-5eb5-453c-8ca1-72bea9470a0d
DTXSID0028038,ad358ffc-13ad-4ef2-940d-016e69664373
DTXSID0030823,b6026e8a-0260-49f0-9fdb-eaf0b1bfca2e
DTXSID00320093,49bcf4a8-bc62-44a8-9f93-e802e1c25cd1
DTXSID00323988,1bbf9922-a6db-44d1-a748-687529bdf604
DTXSID0032493,991ab513-369f-4284-adc6-41cd921bc646
DTXSID0032493,7cddb4cc-3e33-4f35-886c-976870fe3cfc
DTXSID0032497,8608927b-5209-4417-8824-59ab1dfed51f
DTXSID0032497,1397f163-59ec-4ac9-9b81-f356e88031d0
DTXSID0032520,934dafd1-2b8f-40ee-829e-1c4f19706b9b
DTXSID0032601,113c88f4-d3ca-4477-8fa2-d2731240c5fa
DTXSID0032601,ab6fc9e7-be72-4448-91b5-ab77d09e1abb
DTXSID0032651,aff3cc60-a7a2-4842-9ac5-13d314d0f793
DTXSID00331482,0e8472a7-dd33-4379-a88f-58c1237d7b90
DTXSID00333421,7c4302c3-5bbb-4419-8bc3-915a2539ed26
DTXSID0034192,5d29a600-bde2-4e27-9f3f-d2cd335a1b7b
DTXSID0034227,0ae9e2e6-adaa-41ca-b19b-701bd042c1c8
DTXSID0034227,cb64acd7-3331-4c05-9ca5-b513acf6e8e9
DTXSID0034300,9427ad92-882d-4bde-b346-832e9aeebe00
DTXSID0034518,6a0f9f42-08cd-49b5-9e5a-7b11b9bdf50e
DTXSID0034518,ae1c4447-c430-47a8-a212-335fdbb85991
DTXSID00348530,100de114-0d19-48c8-861a-ac84883f0c01
DTXSID0034930,768ea5ba-93ca-4017-9063-937670231287
DTXSID00350239,c061c99b-831a-452a-9e6c-8762b475e15e
DTXSID0036508,d15d0716-f824-4ab5-a43d-fa155fdb1c8c
DTXSID0036766,45934ce4-a6aa-47ad-991f-a8bc9675562f
DTXSID0037102,4c07db5d-08a9-47b7-9a24-0f2d02951560
DTXSID0037231,f61ad046-7097-4750-b260-935ca9dc969f
DTXSID0037237,9e53feaf-b3be-4ece-b0e2-c6aaa566875b
DTXSID0037237,1e34efba-67a7-4ff9-8167-02841d62367e
DTXSID0037493,3d47d3df-e97f-4e57-8d84-cbf32088dc73
DTXSID0037495,d9414a69-ec76-4f0c-9c61-1bd76d89f8a4
DTXSID0037495,4741fb17-5942-4dba-9057-6ddf43237e08
DTXSID0037495,d0f4903a-9650-45ca-aa89-44b01a6ec0e3
DTXSID0037495,b51e3a7b-acdf-4038-867c-cafabbe74e1b
DTXSID0037495,8e83e494-438f-4430-a485-1962ecf75dbc
DTXSID0037495,f89ed0ff-2c8c-43fc-9759-b929ab9873c4
DTXSID0037576,4268e2b0-c559-45e1-9732-6bfde5c5fb71
DTXSID00379268,5f96c7b6-6e9f-4924-8b35-84ff1ff6cf93
DTXSID0039229,7644d183-9aab-422d-b5ef-8aabb693f4ef
DTXSID0039229,6409df32-cc4e-46da-9e09-89b952526d45
DTXSID0040123,faf3d90e-586a-4302-99cd-83d907647513
DTXSID0040129,6de5e027-21ec-455e-b486-af13cba51fd6
DTXSID00404029,aeb405f1-d006-434c-adb5-2ad7db3d977b
DTXSID0040672,a208bc2b-a721-4de8-8b42-dbe49c1920ef
DTXSID0040672,90ebda85-b9f7-403a-96e4-dd6a125ac749
DTXSID0040674,c5b0b3c8-2038-48f6-8cb1-2015624aff3d
DTXSID0040676,0907ca13-1511-43f9-846e-1738790b1990
DTXSID0040701,f421e7e0-5c56-4c5c-89d2-30412c05fec3
DTXSID0040961,6f790959-a3e0-4b3b-b56b-0715e7180322
DTXSID0040961,40ea6c2e-e0eb-4c5e-b56d-b9ae4ecf5732
DTXSID0040961,2da44da1-89b5-4368-9f14-c6125f58d5b5
DTXSID0041060,6b1c08c4-e469-4108-9289-4e79be8b0f6b
DTXSID0041197,d83dd24b-bcd8-44e4-b8d0-56c18506b30c
DTXSID0041197,2f120554-4a53-48cc-bdfa-bc08935ddd72
DTXSID0041800,226ed286-3f16-4267-b18f-7ba99ec8c478
DTXSID0042088,7ec7a123-063a-49e2-966d-8cf0bad7373d
DTXSID0042088,10c565d5-5405-4bed-9fb8-61a396d53ecf
DTXSID0042452,4f1be99c-316e-4285-b5b2-8dfec52d96b8
DTXSID0042616,bb87bc20-bcd9-4fda-ab40-6d2296906a35
DTXSID0042662,9c65836e-8e9a-4a56-a6aa-e560a18df6f5
DTXSID0042662,b29c467d-2b5f-4932-91dc-59efeb21a3f6
DTXSID00426928,b33f3fa4-5cf7-42d5-867c-6e856d63565f
DTXSID00431173,49c7c9e8-3bec-4480-aec6-88d45ad68541
DTXSID0043719,120961ea-0913-4087-95d3-8ca9986cc8d5
DTXSID0043719,9ad098f6-599d-4000-ba17-9e2f54ed0e60
DTXSID0043765,4a6f7151-df05-40c5-83a5-da6370069215
DTXSID0043765,8e751eb7-64d0-4913-991b-8adf0202861c
DTXSID0043973,c74ab14c-20f4-4b5e-9128-f896c838435a
DTXSID0044020,6164f1a7-31c9-4bb2-b4f1-081f6284e14f
DTXSID0044076,07fe6a4e-2a6f-4e47-9b61-f92b9cf600ec
DTXSID0044280,1c170895-4895-44ed-88dc-3d4aad92540e
DTXSID0044369,3c0294d5-cc49-410f-9c23-b2207d7cb4ba
DTXSID0044369,858a133b-025c-422e-9c3f-0480a7629386
DTXSID0044496,f963aee1-96f9-4129-97ed-b96bdc413314
DTXSID0044521,f325f875-e417-4ba3-a4ee-c62b51306e5c
DTXSID0044521,79140a61-ee65-4feb-9b67-4518b0bf7f14
DTXSID0044941,447a6243-1124-48bf-bf4f-87383d7082f0
DTXSID0045127,354af1bd-ba56-42f7-a00a-a45e44e1b08c
DTXSID0045171,16167a2f-57a4-4b99-9e0a-3abdc50613ab
DTXSID0045204,4559baa3-eb0c-4582-860c-29b65fb7d803
DTXSID0045204,ff2abd86-faa5-47d4-be68-155c8594fc23
DTXSID0045204,c646af96-1749-400a-af79-f52c8b10bb3c
DTXSID0045254,80e331ec-adbb-4c27-84c9-64435b689ec7
